date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
;;6.15;2.8;9.23;-1205.7;8.93;10.246
;;6.269;2.8;9.4;-1205.6;8.95;10.109
;;6.48;2.8;9.52;-1205.6;8.95;9.9
;;6.622;2.8;9.64;-1205.6;8.95;9.73
;;6.771;2.8;9.76;-1205.6;8.9;9.569
;;6.983;2.8;9.84;-1205.7;8.98;9.389
;;7.2;2.8;9.91;-1205.7;8.91;9.152
;;7.466;2.8;9.99;-1205.7;9.04;8.961
;;7.615;2.7;10.09;-1205.7;8.93;8.877
;;7.828;2.7;10.13;-1205.7;9.02;8.709
;;7.971;2.7;10.19;-1205.7;8.93;8.485
;;8.226;2.7;10.27;-1205.7;8.94;8.34
;;8.476;2.7;10.34;-1205.7;8.94;8.239
;;8.772;2.7;10.36;-1205.7;8.95;8.094
;;9.018;2.7;10.4;-1205.7;8.96;7.957
;;9.271;2.7;10.45;-1205.7;8.95;7.821
;;9.507;2.7;10.49;-1205.7;8.94;7.678
;;9.793;2.7;10.54;-1205.7;8.97;7.526
;;9.979;2.7;10.59;-1205.7;9.01;7.455
;;10.207;2.7;10.58;-1205.7;8.96;7.355
;;10.503;2.7;10.59;-1205.7;8.97;7.218
;;10.783;2.7;10.63;-1205.7;9.0;7.119
;;10.961;2.7;10.66;-1205.7;9.0;7.065
;;11.204;2.7;10.65;-1205.7;8.98;6.896
;;11.495;2.7;10.67;-1205.7;8.99;6.748
;;11.792;2.7;10.71;-1205.7;8.99;6.641
;;12.048;2.7;10.74;-1205.7;8.98;6.559
;;12.296;2.7;10.74;-1205.7;8.98;6.415
;;12.517;2.7;10.76;-1205.7;8.97;6.297
;;12.737;2.7;10.79;-1205.7;8.98;6.224
;;12.933;2.7;10.82;-1205.7;8.98;6.191
;;13.117;2.7;10.82;-1205.7;8.97;6.145
;;13.26;2.7;10.82;-1205.7;8.96;6.072
;;13.458;2.7;10.84;-1205.7;8.96;6.014
;;13.633;2.6;10.86;-1205.7;9.0;5.986
;;13.852;2.6;10.86;-1205.7;9.0;5.936
;;14.059;2.6;10.85;-1205.7;8.99;5.873
;;14.224;2.6;10.86;-1205.7;8.96;5.843
;;14.46;2.6;10.85;-1205.7;8.96;5.794
;;14.676;2.7;10.85;-1205.8;8.95;5.738
;;14.902;2.7;10.85;-1205.8;8.94;5.675
;;15.05;2.6;10.86;-1205.8;8.93;5.625
;;15.222;2.6;10.87;-1205.8;8.93;5.592
;;15.431;2.6;10.88;-1205.8;8.92;5.55
;;15.7;2.6;10.88;-1205.8;8.91;5.507
;;15.945;2.6;10.89;-1205.8;8.91;5.474
;;16.148;2.6;10.89;-1205.8;8.93;5.454
;;16.376;2.6;10.89;-1205.8;8.94;5.43
;;16.667;2.6;10.88;-1205.8;8.94;5.401
;;16.896;2.6;10.89;-1205.8;8.93;5.381
;;17.151;2.6;10.89;-1205.8;8.92;5.37
;;17.345;2.6;10.88;-1205.8;8.9;5.355
;;17.556;2.6;10.88;-1205.8;8.9;5.335
;;17.792;2.6;10.87;-1205.8;8.9;5.323
;;17.921;2.6;10.87;-1205.8;8.9;5.317
;;18.133;2.6;10.85;-1205.8;8.91;5.3
;;18.32;2.7;10.83;-1205.8;8.93;5.271
;;18.512;2.7;10.81;-1205.8;8.93;5.256
;;18.721;2.8;10.77;-1205.8;8.93;5.243
;;18.99;2.9;10.69;-1205.8;8.95;5.231
;;19.11;2.9;10.63;-1205.8;8.95;5.226
;;19.34;2.9;10.55;-1205.8;8.94;5.222
;;19.513;2.9;10.48;-1205.8;8.93;5.217
;;19.761;3.0;10.4;-1205.8;8.93;5.208
;;19.893;3.0;10.33;-1205.8;8.94;5.187
;;20.108;3.1;10.25;-1205.8;8.97;5.178
;;20.185;3.2;10.17;-1205.8;8.99;5.176
;;20.259;3.2;10.08;-1205.8;9.08;5.182
;;20.324;3.2;9.99;-1205.8;9.12;5.181
;;20.393;3.2;9.91;-1205.8;9.16;5.178
;;20.456;3.2;9.84;-1205.8;9.16;5.178
;;20.471;3.2;9.77;-1205.8;9.15;5.2
;;20.474;3.2;9.69;-1205.8;9.15;5.196
;;20.475;3.2;9.63;-1205.8;9.15;5.19
;;20.477;3.2;9.57;-1205.8;9.13;5.19
;;0.22;2.1;8.34;77.6;4.27;13.631
;;0.232;2.1;8.35;77.1;4.27;13.631
;;0.282;2.1;8.34;77.2;4.27;13.63
;;0.31;2.1;8.34;77.6;4.27;13.629
;;0.34;2.1;8.34;77.6;4.27;13.628
;;0.386;2.1;8.34;77.5;4.27;13.63
;;0.429;2.1;8.34;77.4;4.27;13.63
;;0.463;2.1;8.34;77.3;4.27;13.631
;;0.496;2.1;8.34;78.0;4.26;13.631
;;0.507;2.1;8.34;77.7;4.27;13.631
;;0.509;2.1;8.34;78.2;4.26;13.631
;;0.511;2.1;8.34;77.3;4.27;13.632
;;0.526;2.1;8.34;77.3;4.27;13.632
;;0.563;2.1;8.34;77.3;4.27;13.632
;;0.607;2.1;8.35;78.4;4.26;13.632
;;0.669;2.1;8.35;78.6;4.26;13.632
;;0.717;2.1;8.35;78.2;4.26;13.632
;;0.781;2.1;8.34;77.9;4.27;13.633
;;0.863;2.1;8.34;78.1;4.26;13.633
;;0.962;2.1;8.35;78.1;4.26;13.634
;;1.085;2.1;8.34;77.7;4.27;13.634
;;1.14;2.1;8.34;77.8;4.27;13.633
;;1.239;2.1;8.34;77.9;4.27;13.634
;;1.319;2.1;8.34;78.1;4.26;13.633
;;1.371;2.1;8.34;78.2;4.26;13.633
;;1.418;2.1;8.34;78.1;4.26;13.633
;;1.443;2.1;8.34;77.6;4.27;13.633
;;1.453;2.1;8.34;77.6;4.27;13.633
;;1.479;2.2;8.34;77.5;4.27;13.632
;;1.537;2.2;8.34;77.6;4.27;13.633
;;1.614;2.2;8.34;77.7;4.27;13.633
;;1.685;2.2;8.34;77.8;4.27;13.633
;;1.814;2.2;8.34;77.8;4.27;13.632
;;1.85;2.2;8.34;77.7;4.27;13.632
;;1.988;2.2;8.34;77.7;4.27;13.632
;;2.035;2.2;8.34;77.8;4.27;13.632
;;2.158;2.2;8.34;78.0;4.27;13.633
;;2.183;2.2;8.34;78.0;4.27;13.633
;;2.28;2.2;8.34;77.9;4.27;13.633
;;2.341;2.2;8.34;77.9;4.27;13.634
;;2.377;2.2;8.34;77.8;4.27;13.634
;;2.464;2.2;8.34;77.8;4.27;13.633
;;2.489;2.2;8.34;77.8;4.27;13.633
;;2.607;2.2;8.34;77.9;4.27;13.634
;;2.687;2.2;8.34;78.1;4.26;13.633
;;2.77;2.2;8.34;78.2;4.26;13.632
;;2.844;2.2;8.34;78.2;4.26;13.632
;;2.923;2.2;8.34;78.4;4.26;13.631
;;3.002;2.2;8.34;78.8;4.26;13.631
;;3.082;2.2;8.34;79.0;4.26;13.632
;;3.192;2.3;8.34;79.3;4.25;13.632
;;3.279;2.3;8.34;79.7;4.25;13.632
;;3.375;2.3;8.34;80.1;4.24;13.632
;;3.457;2.3;8.34;80.6;4.24;13.632
;;3.576;2.3;8.34;81.4;4.23;13.632
;;3.669;2.3;8.34;82.0;4.23;13.63
;;3.755;2.3;8.33;82.9;4.22;13.63
;;3.855;2.3;8.34;83.9;4.21;13.631
;;3.95;2.3;8.34;85.1;4.2;13.631
;;4.07;2.3;8.34;86.3;4.19;13.63
;;4.167;2.3;8.34;87.2;4.18;13.629
;;4.285;2.3;8.34;88.1;4.17;13.627
;;4.385;2.3;8.33;89.1;4.16;13.624
;;4.484;2.3;8.33;90.0;4.15;13.617
;;4.605;2.3;8.34;90.8;4.14;13.611
;;4.703;2.3;8.34;91.6;4.14;13.605
;;4.804;2.3;8.35;92.2;4.13;13.599
;;4.917;2.3;8.35;93.0;4.12;13.597
;;5.061;2.3;8.36;93.8;4.11;13.597
;;5.171;2.4;8.36;95.1;4.1;13.595
;;5.29;2.4;8.36;96.1;4.09;13.593
;;5.406;2.4;8.37;97.2;4.08;13.59
;;5.507;2.4;8.37;98.1;4.07;13.582
;;5.624;2.4;8.37;98.7;4.07;13.574
;;5.732;2.4;8.38;99.6;4.06;13.568
;;5.825;2.4;8.38;100.6;4.05;13.559
;;5.918;2.4;8.38;101.9;4.04;13.55
;;6.024;2.4;8.39;103.2;4.03;13.537
;;6.118;2.4;8.39;103.8;4.02;13.518
;;6.204;2.4;8.37;104.3;4.01;13.435
;;6.292;2.4;8.37;104.5;4.01;13.221
;;6.399;2.4;8.44;104.8;4.01;12.878
;;6.542;2.4;8.61;105.1;4.0;12.601
;;6.658;2.4;8.82;105.5;3.99;12.365
;;6.772;2.4;9.04;105.6;3.99;12.163
;;6.877;2.3;9.19;105.7;3.99;12.039
;;6.973;2.3;9.33;106.3;3.98;11.923
;;7.124;2.3;9.44;106.6;3.98;11.698
;;7.255;2.3;9.59;106.6;3.97;11.549
;;7.372;2.3;9.7;107.0;3.97;11.469
;;7.49;2.3;9.77;107.4;3.96;11.374
;;7.652;2.3;9.81;107.6;3.96;11.133
;;7.789;2.2;9.87;107.6;3.96;10.887
;;7.914;2.2;9.95;108.1;3.95;10.652
;;8.05;2.2;10.04;108.6;3.94;10.451
;;8.182;2.2;10.11;109.1;3.94;10.216
;;8.303;2.2;10.19;109.5;3.93;10.083
;;8.401;2.3;10.25;109.5;3.93;9.899
;;8.496;2.3;10.33;109.7;3.92;9.799
;;8.579;2.3;10.38;110.0;3.92;9.701
;;8.708;2.3;10.42;110.2;3.92;9.586
;;8.838;2.3;10.47;110.4;3.91;9.486
;;8.956;2.3;10.49;110.5;3.91;9.409
;;9.059;2.3;10.51;110.6;3.91;9.303
;;9.161;2.3;10.54;110.6;3.91;9.183
;;9.272;2.3;10.57;110.6;3.91;9.071
;;9.348;2.3;10.61;110.7;3.91;9.013
;;9.409;2.3;10.63;110.9;3.9;8.945
;;9.498;2.3;10.64;111.7;3.89;8.855
;;9.605;2.3;10.65;112.1;3.89;8.748
;;9.664;2.3;10.68;111.9;3.89;8.697
;;9.7;2.3;10.71;112.2;3.89;8.623
;;9.706;2.3;10.75;112.8;3.88;8.592
;;9.724;2.3;10.75;112.8;3.88;8.59
;;9.868;2.3;10.71;112.5;3.88;8.566
;;10.003;2.3;10.69;112.4;3.88;8.449
;;10.089;2.3;10.71;112.9;3.88;8.322
;;10.173;2.3;10.74;112.8;3.88;8.243
;;10.299;2.3;10.75;112.7;3.88;8.176
;;10.443;2.3;10.75;113.2;3.87;8.115
;;10.54;2.3;10.76;114.9;3.85;8.033
;;10.646;2.3;10.76;117.3;3.83;7.932
;;10.748;2.3;10.78;118.4;3.82;7.869
;;10.865;2.3;10.78;118.8;3.81;7.819
;;10.984;2.3;10.78;118.9;3.81;7.756
;;11.113;2.3;10.79;118.8;3.81;7.677
;;11.214;2.3;10.8;118.9;3.81;7.624
;;11.318;2.3;10.8;119.0;3.81;7.566
;;11.46;2.3;10.81;119.4;3.8;7.502
;;11.584;2.3;10.81;120.1;3.8;7.429
;;11.681;2.3;10.82;120.3;3.79;7.381
;;11.76;2.3;10.83;120.5;3.79;7.326
;;11.855;2.3;10.84;121.2;3.78;7.279
;;11.952;2.3;10.84;121.8;3.78;7.231
;;12.046;2.3;10.84;121.7;3.78;7.187
;;12.146;2.3;10.84;121.7;3.78;7.125
;;12.261;2.3;10.84;122.9;3.77;7.058
;;12.394;2.3;10.85;126.8;3.73;6.978
;;12.492;2.3;10.86;129.8;3.7;6.926
;;12.605;2.3;10.87;133.6;3.66;6.871
;;12.714;2.3;10.88;136.4;3.63;6.821
;;12.813;2.3;10.88;138.3;3.61;6.772
;;12.954;2.3;10.89;139.5;3.6;6.731
;;13.038;2.3;10.89;141.2;3.58;6.7
;;13.12;2.3;10.89;142.5;3.57;6.672
;;13.193;2.3;10.89;143.5;3.56;6.637
;;13.326;2.3;10.88;144.6;3.55;6.598
;;13.414;2.3;10.89;145.7;3.54;6.576
;;13.501;2.3;10.89;146.3;3.53;6.549
;;13.593;2.3;10.89;146.9;3.53;6.516
;;13.694;2.2;10.89;147.6;3.52;6.477
;;13.815;2.2;10.89;147.9;3.51;6.443
;;13.912;2.2;10.9;148.3;3.51;6.413
;;14.012;2.2;10.89;149.1;3.5;6.37
;;14.13;2.2;10.89;149.7;3.5;6.323
;;14.258;2.2;10.9;150.0;3.49;6.27
;;14.347;2.2;10.91;150.8;3.48;6.245
;;14.423;2.2;10.91;151.7;3.47;6.218
;;14.525;2.3;10.9;152.5;3.47;6.179
;;14.628;2.2;10.9;153.6;3.46;6.128
;;14.749;2.2;10.9;155.9;3.43;6.1
;;14.839;2.2;10.91;158.0;3.41;6.072
;;14.892;2.2;10.91;160.6;3.39;6.055
;;14.957;2.2;10.91;161.8;3.37;6.024
;;15.061;2.2;10.9;163.3;3.36;5.981
;;15.069;2.2;10.92;163.8;3.35;5.989
;;15.09;2.2;10.92;163.6;3.36;5.998
;;15.167;2.2;10.9;163.7;3.36;5.95
;;15.241;2.2;10.91;164.2;3.35;5.914
;;15.297;2.2;10.92;164.9;3.34;5.895
;;15.34;2.2;10.92;165.2;3.34;5.888
;;15.433;2.2;10.92;166.0;3.33;5.861
;;15.482;2.2;10.92;167.6;3.32;5.837
;;15.533;2.2;10.93;167.9;3.31;5.824
;;15.618;2.2;10.93;168.9;3.3;5.804
;;15.7;2.3;10.93;172.4;3.27;5.787
;;15.801;2.2;10.92;174.4;3.25;5.763
;;15.921;2.2;10.92;175.6;3.24;5.756
;;16.044;2.2;10.91;176.5;3.23;5.744
;;16.097;2.2;10.9;176.9;3.22;5.734
;;16.166;2.3;10.89;176.8;3.22;5.685
;;16.231;2.3;10.9;177.7;3.21;5.667
;;16.303;2.3;10.89;180.5;3.19;5.666
;;16.311;2.3;10.89;181.4;3.18;5.658
;;16.319;2.3;10.89;177.9;3.21;5.655
;;16.349;2.2;10.88;184.7;3.15;5.642
;;16.359;2.2;10.88;185.3;3.14;5.64
;;16.369;2.2;10.87;185.4;3.14;5.626
;;16.474;2.2;10.86;186.6;3.13;5.607
;;16.521;2.2;10.86;186.8;3.12;5.6
;;16.661;2.3;10.86;179.9;3.19;5.579
;;16.771;2.2;10.86;179.1;3.2;5.567
;;16.935;2.3;10.86;178.8;3.2;5.55
;;17.073;2.3;10.85;179.4;3.2;5.537
;;17.211;2.3;10.84;180.7;3.18;5.519
;;17.374;2.3;10.84;182.0;3.17;5.507
;;17.501;2.3;10.83;181.9;3.17;5.498
;;17.618;2.3;10.81;181.6;3.17;5.484
;;17.784;2.4;10.79;181.5;3.17;5.464
;;17.94;2.4;10.76;180.7;3.18;5.456
;;18.148;2.5;10.73;180.3;3.19;5.446
;;18.217;2.5;10.68;182.1;3.17;5.432
;;18.284;2.6;10.64;184.2;3.15;5.42
;;18.36;2.6;10.57;201.9;2.97;5.402
;;18.574;2.7;10.5;204.3;2.95;5.385
;;18.702;2.8;10.44;207.3;2.92;5.374
;;18.751;2.8;10.35;205.7;2.94;5.367
;;18.774;2.8;10.26;205.8;2.93;5.37
;;18.798;2.9;10.14;205.2;2.94;5.358
;;18.953;3.0;10.04;203.6;2.96;5.336
;;18.996;3.0;9.92;203.0;2.96;5.319
;;19.246;3.1;9.82;203.1;2.96;5.304
;;19.38;3.1;9.69;203.5;2.96;5.297
;;19.492;3.2;9.58;204.5;2.95;5.291
;;19.695;3.2;9.44;205.8;2.93;5.277
;;19.912;3.3;9.33;208.4;2.91;5.268
;;19.986;3.4;9.19;211.0;2.88;5.265
;;20.021;3.4;9.07;211.8;2.88;5.265
;;20.06;3.4;8.93;210.0;2.89;5.265
;;20.076;3.7;8.53;209.0;2.9;5.262
;;20.079;3.7;8.44;208.9;2.9;5.262
;;20.082;3.7;8.61;209.2;2.9;5.262
;;20.085;3.6;8.82;208.9;2.9;5.264
;;20.11;3.8;8.36;209.2;2.9;5.262
