date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
;;9.236;4.9;9.46;39.4;6.13;9.008
;;9.438;5.2;9.57;38.4;6.15;8.853
;;9.654;5.2;9.67;37.8;6.16;8.719
;;9.805;5.2;9.78;37.5;6.16;8.662
;;9.972;5.2;9.82;37.1;6.17;8.555
;;10.161;5.2;9.88;36.9;6.17;8.434
;;10.393;5.2;9.95;36.7;6.18;8.316
;;10.557;5.1;10.0;36.1;6.19;8.249
;;10.704;5.0;10.03;35.6;6.2;8.116
;;10.873;5.0;10.08;34.7;6.21;8.0
;;11.027;4.9;10.12;33.9;6.23;7.855
;;11.244;4.9;10.18;33.5;6.23;7.749
;;11.424;4.9;10.2;32.7;6.25;7.632
;;11.594;4.8;10.23;32.5;6.25;7.558
;;11.759;4.8;10.27;31.7;6.26;7.451
;;11.946;4.8;10.31;30.4;6.29;7.393
;;12.132;4.8;10.35;29.5;6.3;7.33
;;12.284;4.8;10.37;29.0;6.31;7.212
;;12.495;4.8;10.35;28.8;6.32;7.127
;;12.626;4.8;10.4;29.1;6.31;7.037
;;12.829;4.8;10.43;29.0;6.31;6.99
;;13.0;4.8;10.44;27.8;6.33;6.886
;;13.137;4.8;10.47;27.2;6.34;6.818
;;13.292;4.8;10.49;26.8;6.35;6.785
;;13.46;4.8;10.49;26.7;6.35;6.704
;;13.636;4.8;10.5;26.8;6.35;6.689
;;13.742;4.8;10.5;27.0;6.35;6.642
;;13.877;4.8;10.5;27.5;6.34;6.562
;;14.022;4.8;10.52;27.5;6.34;6.489
;;14.183;4.8;10.54;26.8;6.35;6.443
;;14.345;4.8;10.55;26.3;6.36;6.407
;;14.472;4.8;10.55;25.6;6.37;6.351
;;14.605;4.8;10.56;25.6;6.37;6.307
;;14.751;4.8;10.58;25.1;6.38;6.25
;;14.884;4.9;10.6;25.3;6.38;6.22
;;15.033;4.8;10.61;25.3;6.38;6.194
;;15.154;4.9;10.62;24.5;6.39;6.16
;;15.295;4.9;10.63;23.9;6.4;6.118
;;15.455;4.9;10.64;23.4;6.41;6.093
;;15.565;4.9;10.64;23.1;6.42;6.065
;;15.706;4.9;10.65;23.0;6.42;6.039
;;15.822;4.9;10.66;22.9;6.42;6.028
;;15.932;4.9;10.66;23.3;6.41;5.995
;;16.074;4.9;10.66;23.5;6.41;5.945
;;16.196;4.9;10.67;23.5;6.41;5.937
;;16.261;4.9;10.68;23.5;6.41;5.936
;;16.409;4.9;10.67;23.4;6.41;5.911
;;16.499;4.9;10.67;23.4;6.41;5.884
;;16.653;4.8;10.67;22.7;6.42;5.868
;;16.726;4.8;10.67;21.9;6.44;5.838
;;16.954;4.8;10.67;22.0;6.44;5.803
;;17.095;4.8;10.67;22.6;6.42;5.766
;;17.23;4.8;10.68;22.8;6.42;5.741
;;17.374;4.8;10.68;22.7;6.42;5.727
;;17.433;4.8;10.68;22.9;6.42;5.728
;;17.599;4.8;10.67;23.0;6.42;5.714
;;17.686;4.9;10.66;23.3;6.41;5.697
;;17.867;4.9;10.64;23.9;6.4;5.662
;;18.104;4.9;10.63;24.9;6.38;5.624
;;18.37;4.9;10.62;25.1;6.38;5.595
;;18.561;4.9;10.6;25.8;6.37;5.579
;;18.758;4.9;10.56;27.4;6.34;5.56
;;18.908;5.0;10.53;30.7;6.28;5.556
;;19.041;5.0;10.46;32.2;6.25;5.549
;;19.249;5.1;10.39;34.7;6.2;5.524
;;19.293;5.2;10.31;37.5;6.15;5.519
;;19.482;5.2;10.22;40.2;6.1;5.497
;;19.584;5.3;10.11;44.0;6.03;5.471
;;19.676;5.3;9.99;46.1;6.0;5.462
;;19.73;5.3;9.84;47.8;5.97;5.452
;;19.755;5.4;9.71;49.8;5.93;5.447
;;19.803;5.4;9.57;51.2;5.9;5.434
;;19.995;5.5;9.44;53.6;5.86;5.416
;;20.106;5.5;9.31;56.3;5.81;5.403
;;20.171;5.5;9.19;57.8;5.78;5.403
;;20.248;5.5;9.06;59.0;5.76;5.404
;;20.331;5.6;8.92;59.1;5.76;5.403
;;20.421;5.7;8.75;59.2;5.76;5.405
;;20.454;5.7;8.48;59.9;5.74;5.407
;;20.461;5.7;8.22;61.2;5.72;5.408
;;20.463;5.7;7.93;62.1;5.7;5.407
