date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
;;8.535;2.8;;39.6;5.93;7.692
;;8.647;2.8;;39.0;5.94;7.686
;;8.712;2.8;;39.3;5.93;7.579
;;8.786;2.8;;40.3;5.92;7.555
;;8.888;2.8;;41.2;5.9;7.451
;;8.944;2.7;;41.2;5.9;7.442
;;8.958;2.7;;40.9;5.9;7.411
;;9.096;2.8;;41.0;5.9;7.33
;;9.249;2.8;;40.8;5.91;7.264
;;9.312;2.8;;40.7;5.91;7.208
;;9.412;2.7;;40.6;5.91;7.145
;;9.584;2.8;;40.0;5.92;7.115
;;9.633;2.8;;39.7;5.92;7.112
;;9.705;2.7;;40.4;5.91;7.088
;;9.841;2.8;;40.7;5.91;7.033
;;10.004;2.8;;41.3;5.9;7.011
;;10.096;2.8;;41.3;5.9;6.992
;;10.195;2.8;;41.9;5.89;6.931
;;10.35;2.8;;42.3;5.88;6.833
;;10.503;2.8;;42.3;5.88;6.773
;;10.589;2.7;;42.4;5.88;6.733
;;10.672;2.8;;42.3;5.88;6.713
;;10.766;2.8;;42.3;5.88;6.651
;;10.909;2.7;;42.3;5.88;6.595
;;10.981;2.7;;42.4;5.88;6.561
;;11.244;2.8;;42.9;5.87;6.499
;;11.328;2.8;;42.6;5.87;6.456
;;11.452;2.7;;42.7;5.87;6.434
;;11.528;2.7;;42.9;5.87;6.343
;;11.72;2.7;;42.9;5.87;6.305
;;11.869;2.7;;43.0;5.86;6.236
;;12.055;2.7;;43.5;5.85;6.155
;;12.278;2.7;;44.0;5.85;6.075
;;12.431;2.7;;44.0;5.85;6.024
;;12.511;2.7;;43.9;5.85;5.997
;;12.668;2.7;;43.9;5.85;5.952
;;12.825;2.7;;43.9;5.85;5.927
;;12.886;2.7;;43.8;5.85;5.924
;;12.988;2.7;;43.8;5.85;5.854
;;13.164;2.8;;44.4;5.84;5.762
;;13.284;2.8;;44.5;5.84;5.753
;;13.293;2.8;;44.5;5.84;5.737
;;13.444;2.8;;45.2;5.82;5.701
;;13.653;2.8;;45.5;5.82;5.649
;;13.72;2.8;;45.7;5.81;5.641
;;14.004;2.9;;46.2;5.8;5.587
;;14.074;2.9;;46.1;5.81;5.556
;;14.1;2.8;;46.4;5.8;5.551
;;14.219;2.9;;47.2;5.79;5.516
;;14.396;2.9;;47.4;5.78;5.49
;;14.566;2.9;;48.8;5.76;5.461
;;14.756;2.9;;49.4;5.75;5.436
;;14.936;3.0;;48.8;5.76;5.416
;;14.976;3.0;;48.7;5.76;5.418
;;15.072;3.0;;49.0;5.76;5.41
;;15.216;3.0;;49.1;5.75;5.386
;;15.266;3.0;;49.3;5.75;5.379
;;15.484;3.0;;50.5;5.73;5.357
;;15.585;3.1;;50.7;5.73;5.347
;;15.63;3.0;;50.6;5.73;5.355
;;15.719;3.0;;51.0;5.72;5.342
;;15.856;3.1;;52.1;5.7;5.309
;;15.936;3.1;;52.4;5.7;5.293
;;16.081;3.0;;52.9;5.69;5.289
;;16.242;3.0;;53.7;5.68;5.263
;;16.422;3.1;;55.0;5.65;5.236
;;16.452;3.1;;55.3;5.65;5.236
;;16.565;3.1;;55.6;5.64;5.23
;;16.832;3.1;;56.1;5.63;5.199
;;16.981;3.1;;56.6;5.62;5.188
;;17.024;3.1;;56.6;5.62;5.19
;;17.199;3.1;;56.8;5.62;5.173
;;17.434;3.1;;56.8;5.62;5.147
;;17.574;3.1;;56.9;5.62;5.141
;;17.682;3.1;;57.4;5.61;5.134
;;17.742;3.1;;57.6;5.61;5.131
;;17.973;3.1;;58.6;5.59;5.108
;;18.223;3.1;;58.9;5.58;5.098
;;18.368;3.1;;59.0;5.58;5.092
;;18.59;3.2;;59.8;5.57;5.075
;;18.709;3.2;;60.1;5.56;5.069
;;18.817;3.3;;60.6;5.55;5.063
;;19.059;3.4;;61.9;5.53;5.039
;;19.116;3.4;;62.2;5.53;5.035
;;19.238;3.5;;62.4;5.52;5.026
;;19.518;3.6;;62.9;5.51;5.001
;;19.702;3.7;;63.8;5.5;4.989
;;19.921;3.7;;64.2;5.49;4.987
;;20.028;3.7;;64.6;5.48;4.986
;;20.085;3.8;;64.5;5.48;4.987
;;20.154;3.8;;63.6;5.5;4.989
;;20.227;3.8;;64.2;5.49;4.992
;;20.273;3.8;;65.9;5.46;4.995
;;20.278;3.8;;66.0;5.46;4.998
;;20.279;3.8;;66.0;5.46;4.999
;;20.281;3.9;;66.0;5.46;4.999
;;20.283;3.9;;66.0;5.46;5.002
