date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
;;19.015;4.5;9.55;150.8;3.75;6.133
;;19.109;4.6;9.47;147.4;3.81;6.119
;;19.117;4.6;9.38;149.6;3.77;6.134
;;19.25;4.6;9.27;151.4;3.73;6.12
;;19.42;4.7;9.15;152.3;3.72;6.103
;;19.531;4.7;9.06;153.3;3.7;6.099
;;19.562;4.7;8.96;154.0;3.68;6.1
;;19.593;4.7;8.87;154.4;3.67;6.103
;;19.761;4.8;8.77;155.1;3.66;6.092
;;19.92;4.8;8.69;154.9;3.67;6.084
;;19.993;4.8;8.6;154.5;3.67;6.079
;;20.002;4.8;8.53;154.3;3.68;6.076
;;20.004;4.8;8.44;154.1;3.68;6.075
;;20.035;4.9;8.36;153.1;3.7;6.074
;;20.14;4.9;8.22;151.5;3.73;6.074
;;20.202;4.9;8.05;150.5;3.75;6.074
;;20.245;4.9;7.88;150.1;3.76;6.081
;;20.26;5.0;7.72;149.7;3.76;6.083
