date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
;;16.039;2.0;14.05;12.6;6.66;5.634
;;16.09;2.0;14.05;12.8;6.66;5.606
;;16.142;2.0;14.05;20.1;6.53;5.575
;;16.187;2.0;14.05;18.5;6.56;5.551
;;16.231;2.0;14.04;19.5;6.54;5.524
;;16.286;2.0;14.04;20.0;6.53;5.5
;;16.328;2.0;14.03;20.8;6.52;5.479
;;16.369;2.0;14.02;21.2;6.51;5.46
;;17.132;2.0;14.0;21.6;6.5;5.44
;;17.241;3.0;13.99;22.5;6.49;5.423
;;17.362;3.0;13.97;23.4;6.47;5.404
;;17.454;3.0;13.92;24.7;6.45;5.372
;;17.456;3.0;13.95;24.1;6.46;5.388
;;17.473;3.0;13.89;25.3;6.44;5.359
;;17.524;3.0;13.85;25.9;6.43;5.346
;;17.567;3.0;13.82;26.4;6.42;5.337
;;17.609;3.0;13.78;32.2;6.31;5.325
;;17.644;3.0;13.74;32.2;6.31;5.317
;;17.687;3.0;13.7;32.6;6.31;5.308
;;17.726;3.0;13.66;33.1;6.3;5.3
;;17.761;3.0;13.61;33.1;6.3;5.293
;;17.798;3.0;13.57;33.6;6.29;5.287
;;17.832;3.0;13.53;34.2;6.28;5.282
;;17.88;3.0;13.48;35.0;6.26;5.278
;;17.922;3.0;13.44;35.8;6.25;5.274
;;17.967;3.0;13.4;36.4;6.24;5.271
;;18.73;3.0;13.36;37.0;6.23;5.268
;;18.81;3.0;13.32;37.6;6.22;5.265
;;19.001;3.0;13.28;43.3;6.11;5.262
;;19.007;3.0;13.24;45.2;6.08;5.259
;;19.049;3.0;13.2;45.9;6.07;5.255
;;19.11;3.0;13.16;48.7;6.02;5.251
;;19.156;3.0;13.13;48.5;6.02;5.247
;;19.212;3.0;13.08;48.6;6.02;5.242
;;19.257;3.0;13.04;48.8;6.01;5.237
;;19.299;3.0;13.0;49.1;6.01;5.231
;;19.335;3.0;12.96;49.6;6.0;5.226
;;19.373;3.0;12.91;50.1;5.99;5.221
;;19.405;3.0;12.47;50.6;5.98;5.214
;;19.44;3.0;12.42;51.1;5.97;5.207
;;19.475;3.0;12.33;51.6;5.96;5.198
;;19.513;3.0;12.3;52.1;5.95;5.191
;;19.561;3.0;12.25;58.9;5.83;5.182
;;19.605;3.0;12.21;59.5;5.82;5.175
;;19.649;3.0;12.16;59.4;5.82;5.166
;;19.689;3.0;12.12;59.6;5.82;5.16
;;19.732;3.0;12.07;60.1;5.81;5.154
;;19.765;3.0;12.03;61.1;5.79;5.149
;;19.794;3.0;11.98;61.4;5.79;5.143
;;19.817;3.0;11.94;61.3;5.79;5.14
;;19.84;3.0;11.47;61.2;5.79;5.136
;;19.866;3.0;11.37;61.4;5.79;5.133
;;19.888;4.0;11.24;61.5;5.78;5.13
;;19.912;4.0;11.18;61.4;5.79;5.127
;;19.933;4.0;11.1;61.3;5.79;5.126
;;19.955;4.0;11.04;61.2;5.79;5.126
;;19.981;4.0;10.98;61.1;5.79;5.126
;;20.002;4.0;10.92;60.9;5.8;5.127
;;20.02;4.0;10.85;60.8;5.8;5.126
;;20.036;4.0;10.83;60.6;5.8;5.126
;;20.054;4.0;10.76;60.5;5.8;5.124
;;20.068;4.0;10.33;60.4;5.8;5.124
;;20.081;5.0;10.11;60.3;5.81;5.121
;;20.095;5.0;10.02;60.1;5.81;5.12
;;20.11;5.0;9.83;59.9;5.81;5.118
;;20.126;5.0;9.71;54.5;5.91;5.118
;;20.139;5.0;9.59;54.3;5.91;5.118
;;20.163;5.0;9.51;54.0;5.92;5.118
;;20.202;6.0;9.48;54.0;5.92;5.118
;;20.246;6.0;9.41;54.0;5.92;5.118
;;20.28;6.0;9.37;53.9;5.92;5.118
;;20.312;6.0;9.34;53.8;5.92;5.118
;;20.341;6.0;9.3;53.8;5.92;5.119
;;20.37;6.0;9.28;53.7;5.92;5.119
;;20.402;6.0;9.25;53.7;5.93;5.12
;;20.428;6.0;9.22;53.7;5.93;5.121
;;20.452;6.0;9.2;53.6;5.93;5.122
;;20.483;6.0;9.16;53.6;5.93;5.123
;;20.489;6.0;9.09;53.5;5.93;5.123
;;20.503;6.0;8.62;53.4;5.93;5.123
