date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph brut (nounit);ph tc (nounit);Température (°c)
;;2.87;2.6;10.27;42.8;5.33;12.978
;;2.913;2.6;10.27;42.7;5.33;12.967
;;2.952;2.6;10.28;42.6;5.33;12.955
;;2.991;2.6;10.28;42.5;5.34;12.946
;;3.03;2.6;10.28;42.4;5.34;12.936
;;3.068;2.6;10.28;42.3;5.34;12.927
;;3.11;2.6;10.28;42.2;5.34;12.919
;;3.143;2.6;10.28;42.0;5.34;12.912
;;3.175;2.6;10.28;41.9;5.35;12.904
;;3.209;2.6;10.28;41.7;5.35;12.898
;;3.25;2.6;10.28;41.5;5.35;12.888
;;3.283;2.6;10.28;41.2;5.36;12.881
;;3.315;2.6;10.28;40.9;5.36;12.876
;;4.072;2.6;10.28;40.6;5.37;12.871
;;4.131;2.6;10.28;40.4;5.37;12.865
;;4.24;2.6;10.28;40.2;5.37;12.861
;;4.279;2.6;10.28;40.1;5.38;12.855
;;4.335;2.6;10.28;40.1;5.38;12.851
;;4.382;2.6;10.28;40.0;5.38;12.846
;;4.41;2.6;10.28;39.9;5.38;12.842
;;4.44;2.6;10.28;39.7;5.38;12.836
;;4.469;2.6;10.28;39.6;5.38;12.831
;;4.497;2.6;10.28;39.5;5.39;12.826
;;4.526;2.6;10.28;39.3;5.39;12.822
;;4.563;2.6;10.28;39.2;5.39;12.817
;;4.595;2.5;10.28;39.0;5.4;12.813
;;4.626;2.5;10.28;38.8;5.4;12.809
;;4.657;2.5;10.28;38.5;5.4;12.807
;;4.688;2.5;10.28;38.3;5.41;12.803
;;4.724;2.5;10.28;38.1;5.41;12.801
;;4.755;2.5;10.28;37.8;5.41;12.797
;;4.786;2.5;10.28;37.6;5.42;12.795
;;4.817;2.5;10.28;37.5;5.42;12.792
;;4.856;2.5;10.28;37.3;5.42;12.789
;;4.889;2.5;10.28;37.2;5.43;12.787
;;4.92;2.5;10.28;37.0;5.43;12.784
;;4.952;2.5;10.28;36.9;5.43;12.782
;;5.698;2.5;10.28;36.8;5.43;12.78
;;5.751;2.5;10.27;36.6;5.44;12.778
;;5.806;2.5;10.27;36.4;5.44;12.776
;;5.84;2.5;10.27;36.1;5.44;12.774
;;5.879;2.5;10.27;35.9;5.45;12.771
;;5.925;2.5;10.27;35.7;5.45;12.769
;;5.965;2.5;10.27;35.5;5.45;12.766
;;6.001;2.5;10.27;35.4;5.46;12.764
;;6.033;2.5;10.26;35.3;5.46;12.761
;;6.066;2.5;10.26;35.3;5.46;12.758
;;6.107;2.5;10.26;35.3;5.46;12.756
;;6.136;2.5;10.26;35.3;5.46;12.753
;;6.164;2.5;10.26;35.3;5.46;12.751
;;6.195;2.5;10.25;35.3;5.46;12.749
;;6.228;2.5;10.25;35.4;5.46;12.747
;;6.27;2.5;10.25;35.5;5.46;12.744
;;6.301;2.5;10.24;35.5;5.45;12.743
;;6.332;2.5;10.24;35.5;5.45;12.742
;;6.36;2.5;10.24;35.6;5.45;12.741
;;6.396;2.5;10.24;35.7;5.45;12.739
;;6.428;2.5;10.23;35.7;5.45;12.738
;;6.46;2.5;10.23;35.8;5.45;12.737
;;6.493;2.5;10.22;35.9;5.45;12.736
;;6.525;2.5;10.22;36.0;5.45;12.735
;;7.258;2.5;10.22;36.0;5.45;12.734
;;7.324;2.5;10.22;36.0;5.45;12.733
;;7.42;2.5;10.21;36.1;5.44;12.733
;;7.44;2.5;10.21;36.2;5.44;12.732
;;7.48;2.5;10.21;36.2;5.44;12.731
;;7.502;2.5;10.21;36.2;5.44;12.729
;;7.529;2.5;10.2;36.2;5.44;12.728
;;7.552;2.5;10.2;36.2;5.44;12.726
;;7.586;2.5;10.2;36.1;5.44;12.725
;;7.631;2.5;10.2;35.9;5.45;12.723
;;7.668;2.5;10.19;35.8;5.45;12.721
;;7.705;2.5;10.19;35.7;5.45;12.719
;;7.74;2.5;10.19;35.6;5.45;12.716
;;7.769;2.5;10.19;35.5;5.46;12.713
;;7.802;2.5;10.18;35.4;5.46;12.71
;;7.833;2.5;10.18;35.3;5.46;12.707
;;7.862;2.5;10.18;35.3;5.46;12.702
;;7.895;2.5;10.18;35.2;5.46;12.701
;;7.938;2.5;10.17;35.1;5.46;12.697
;;7.973;2.5;10.17;35.1;5.46;12.695
;;8.009;2.5;10.17;35.0;5.46;12.691
;;8.764;2.5;10.17;34.9;5.46;12.689
;;8.78;2.5;10.16;34.9;5.47;12.683
;;8.883;2.5;10.16;34.8;5.47;12.682
;;8.906;2.5;10.16;34.7;5.47;12.676
;;8.909;2.5;10.16;34.8;5.47;12.678
;;8.944;2.5;10.16;34.7;5.47;12.671
;;9.0;2.5;10.16;34.8;5.47;12.669
;;9.057;2.5;10.16;34.8;5.47;12.663
;;9.1;2.5;10.16;34.9;5.47;12.658
;;9.137;2.5;10.15;34.9;5.47;12.641
;;9.176;2.5;10.15;34.9;5.46;12.599
;;9.218;2.5;10.15;34.9;5.46;12.555
;;9.257;2.5;10.15;34.8;5.47;11.43
;;9.297;2.6;10.41;34.8;5.46;11.207
;;9.338;2.6;10.47;34.6;5.46;10.92
;;9.382;2.6;10.55;28.8;5.56;10.752
;;9.433;2.6;11.07;27.5;5.58;10.766
;;9.489;2.5;11.09;27.1;5.59;10.722
;;9.512;2.5;11.16;26.4;5.6;10.643
;;9.575;2.5;11.24;26.4;5.6;10.594
;;9.598;2.5;11.3;26.3;5.6;10.546
;;10.386;2.5;11.35;25.9;5.61;10.501
;;10.428;2.4;11.41;25.6;5.61;10.447
;;10.577;2.4;11.45;25.2;5.62;10.393
;;10.58;2.4;11.5;24.9;5.63;10.338
;;10.629;2.4;11.54;24.7;5.63;10.294
;;10.657;2.4;11.58;24.6;5.63;10.247
;;10.735;2.4;11.61;24.5;5.63;10.209
;;10.782;2.4;11.64;24.3;5.64;10.159
;;10.818;2.4;11.67;24.1;5.64;10.085
;;10.857;2.4;11.71;23.8;5.64;9.991
;;10.904;2.4;11.76;23.6;5.65;9.905
;;10.94;2.4;11.79;23.3;5.65;9.81
;;10.98;2.4;11.86;23.1;5.65;9.725
;;11.02;2.4;11.91;22.9;5.66;9.631
;;11.053;2.3;11.97;22.7;5.66;9.558
;;11.087;2.3;12.01;22.4;5.67;9.483
;;11.111;2.3;12.06;22.1;5.67;9.419
;;11.132;2.3;12.1;16.8;5.76;9.348
;;11.152;2.3;12.15;16.7;5.76;9.289
;;11.176;2.3;12.18;16.5;5.77;9.219
;;11.208;2.3;12.22;16.3;5.77;9.154
;;11.238;2.3;12.25;15.6;5.78;9.071
;;11.271;2.3;12.28;15.5;5.78;8.993
;;12.108;2.3;12.3;15.4;5.78;8.908
;;12.173;2.3;12.33;15.5;5.78;8.824
;;12.233;2.3;12.35;15.5;5.78;8.735
;;12.297;2.2;12.56;14.3;5.8;8.059
;;12.299;2.2;12.54;14.4;5.8;8.103
;;12.301;2.2;12.6;13.9;5.81;7.992
;;12.303;2.2;12.52;14.6;5.8;8.167
;;12.304;2.2;12.63;13.8;5.81;7.972
;;12.306;2.2;12.65;13.6;5.81;7.958
;;12.31;2.2;12.67;13.4;5.81;7.944
;;12.312;2.2;12.49;14.8;5.79;8.232
;;12.318;2.3;12.43;15.3;5.79;8.487
;;12.319;2.3;12.47;14.9;5.79;8.316
;;12.321;2.3;12.4;15.4;5.78;8.566
;;12.337;2.3;12.38;15.5;5.78;8.657
;;12.34;2.2;12.7;13.2;5.82;7.907
;;12.366;2.2;12.71;13.1;5.82;7.887
;;12.385;2.2;12.72;12.9;5.82;7.866
;;12.402;2.2;12.73;12.7;5.83;7.845
;;12.418;2.2;12.74;12.5;5.83;7.819
;;12.431;2.2;12.75;12.2;5.84;7.798
;;12.446;2.1;12.76;12.0;5.84;7.774
;;12.459;2.1;12.76;11.7;5.84;7.752
;;12.472;2.1;12.77;11.4;5.85;7.726
;;12.484;2.1;12.77;11.2;5.85;7.703
;;12.495;2.1;12.78;11.0;5.86;7.676
;;12.507;2.1;12.79;10.8;5.86;7.655
;;12.517;2.1;12.79;10.5;5.86;7.635
;;12.527;2.1;12.8;10.3;5.87;7.622
;;12.536;2.1;12.8;10.1;5.87;7.614
;;12.547;2.1;12.81;9.9;5.87;7.605
;;12.555;2.1;12.82;9.7;5.88;7.596
;;12.563;2.1;12.82;9.6;5.88;7.588
;;12.571;2.1;12.83;9.4;5.88;7.581
;;12.578;2.1;12.84;9.2;5.89;7.576
;;12.589;2.1;12.84;9.1;5.89;7.57
;;12.599;2.1;12.84;8.9;5.89;7.561
;;12.61;2.0;12.85;8.8;5.89;7.552
;;12.619;2.0;12.85;8.7;5.9;7.542
;;12.637;2.0;12.85;8.5;5.9;7.531
;;12.657;2.0;12.85;8.3;5.9;7.52
;;12.675;2.0;12.85;8.1;5.91;7.507
;;12.692;2.0;12.85;8.0;5.91;7.495
;;12.71;2.0;12.85;7.8;5.91;7.48
;;12.733;2.0;12.86;7.7;5.91;7.467
;;12.751;2.0;12.86;7.5;5.92;7.452
;;12.77;2.0;12.86;7.4;5.92;7.44
;;12.789;2.0;12.86;7.2;5.92;7.423
;;12.809;2.0;12.86;7.1;5.92;7.411
;;12.832;2.0;12.86;6.9;5.93;7.401
;;12.853;2.0;12.87;6.8;5.93;7.391
;;12.873;2.0;12.87;6.6;5.93;7.379
;;12.89;2.0;12.87;6.5;5.93;7.369
;;12.905;2.0;12.88;6.4;5.94;7.356
;;12.919;2.0;12.88;6.2;5.94;7.345
;;12.932;2.0;12.88;6.1;5.94;7.332
;;12.946;2.0;12.88;5.9;5.94;7.323
;;12.959;2.0;12.89;5.8;5.95;7.31
;;12.974;2.0;12.89;5.6;5.95;7.299
;;12.987;2.0;12.89;5.4;5.95;7.285
;;12.999;2.0;12.89;5.2;5.96;7.273
;;13.012;2.0;12.9;5.0;5.96;7.259
;;13.026;2.0;12.9;4.8;5.96;7.247
;;13.038;2.0;12.91;4.6;5.97;7.236
;;13.049;2.0;12.91;4.4;5.97;7.228
;;13.06;2.0;12.91;4.2;5.97;7.22
;;13.07;2.0;12.92;4.0;5.98;7.216
;;13.082;2.0;12.92;3.9;5.98;7.213
;;13.093;2.0;12.92;3.7;5.98;7.209
;;13.105;2.0;12.93;3.6;5.98;7.203
;;13.116;2.0;12.93;3.5;5.99;7.199
;;13.127;2.0;12.93;3.4;5.99;7.195
;;13.146;2.0;12.94;3.2;5.99;7.187
;;13.956;2.0;12.93;3.0;6.0;7.154
;;13.986;2.0;12.93;2.8;6.0;7.133
;;14.029;2.0;12.93;2.7;6.0;7.11
;;14.037;2.0;12.93;3.1;5.99;7.172
;;14.045;2.0;12.93;2.5;6.0;7.082
;;14.107;2.0;12.93;2.4;6.0;7.051
;;14.157;2.0;12.93;2.3;6.01;7.012
;;14.199;2.0;12.93;2.1;6.01;6.976
;;14.252;2.0;12.93;2.0;6.01;6.934
;;14.29;2.0;12.93;1.8;6.01;6.895
;;14.325;2.0;12.92;1.7;6.02;6.848
;;14.36;2.0;12.92;1.6;6.02;6.804
;;14.393;2.0;12.92;1.5;6.02;6.757
;;14.439;2.0;12.93;1.4;6.02;6.719
;;14.476;1.9;12.93;1.3;6.02;6.681
;;14.514;1.9;12.93;1.2;6.02;6.647
;;14.551;1.9;12.94;1.1;6.03;6.609
;;14.592;1.9;12.94;1.0;6.03;6.58
;;14.624;1.9;12.94;0.8;6.03;6.549
;;14.657;1.9;12.94;0.6;6.03;6.52
;;14.689;2.0;12.94;0.4;6.04;6.489
;;14.719;2.0;12.95;0.3;6.04;6.464
;;14.756;2.0;12.95;0.1;6.04;6.436
;;14.788;2.0;12.95;-0.1;6.05;6.41
;;15.529;2.0;12.96;-0.3;6.05;6.384
;;15.559;2.0;12.96;-0.4;6.05;6.361
;;15.663;2.0;12.96;-0.6;6.06;6.337
;;15.74;2.0;12.96;-0.8;6.06;6.311
;;15.766;2.0;12.96;-1.0;6.06;6.278
;;15.819;1.9;12.96;-1.1;6.06;6.248
;;15.862;1.9;12.96;-1.3;6.07;6.214
;;15.904;1.9;12.96;-1.4;6.07;6.183
;;15.941;1.9;12.96;-1.6;6.07;6.147
;;15.977;1.9;12.97;-1.7;6.07;6.117
;;16.015;1.9;12.96;-1.9;6.08;6.081
;;16.05;1.9;12.96;-2.0;6.08;6.049
;;16.094;1.9;12.96;-2.0;6.08;6.016
;;16.135;1.9;12.96;-2.0;6.08;5.986
;;16.178;1.9;12.96;-1.9;6.08;5.953
;;16.222;1.9;12.95;3.4;5.98;5.925
;;16.274;1.9;12.94;3.7;5.98;5.896
;;16.315;1.9;12.94;3.6;5.98;5.871
;;17.028;2.0;12.93;4.7;5.96;5.844
;;17.155;2.0;12.92;5.0;5.95;5.821
;;17.27;2.0;12.9;5.5;5.95;5.795
;;17.284;2.1;12.88;6.1;5.93;5.763
;;17.352;2.1;12.86;6.7;5.92;5.751
;;17.407;2.1;12.82;7.2;5.92;5.719
;;17.45;2.1;12.79;7.5;5.91;5.707
;;17.499;2.2;12.31;7.7;5.91;5.674
;;17.535;2.2;12.26;7.9;5.9;5.664
;;17.582;2.3;12.15;8.2;5.9;5.634
;;17.626;2.3;12.14;8.5;5.89;5.625
;;17.673;2.4;12.04;14.1;5.79;5.602
;;17.728;2.4;12.02;15.3;5.77;5.594
;;17.772;2.5;11.95;16.2;5.76;5.573
;;17.819;2.5;11.85;16.8;5.75;5.557
;;17.869;2.6;11.42;17.0;5.74;5.545
;;17.921;2.6;11.23;17.9;5.72;5.53
;;18.767;2.7;11.11;18.2;5.72;5.517
;;18.799;2.7;11.04;18.8;5.71;5.503
;;18.903;2.9;10.86;19.5;5.7;5.481
;;18.939;2.8;10.96;19.2;5.7;5.493
;;19.011;2.9;10.78;19.9;5.69;5.471
;;19.084;3.0;10.7;20.2;5.68;5.46
;;19.145;3.1;10.18;20.6;5.68;5.449
;;19.198;3.1;10.0;20.9;5.67;5.439
;;19.243;3.2;9.85;21.3;5.67;5.43
;;19.291;3.2;9.78;21.6;5.66;5.421
;;19.331;3.3;9.7;21.9;5.65;5.414
;;19.369;3.3;9.61;22.2;5.65;5.408
;;19.423;3.4;9.54;22.5;5.64;5.404
;;19.441;3.4;9.47;22.7;5.64;5.4
;;19.48;3.5;9.41;22.9;5.64;5.397
;;19.496;3.5;8.91;23.2;5.63;5.395
;;19.537;3.5;8.79;23.4;5.63;5.392
;;19.546;3.6;8.68;23.7;5.62;5.39
;;19.585;3.6;8.62;23.9;5.62;5.389
;;19.598;3.6;8.56;24.0;5.62;5.39
;;19.631;3.6;8.49;24.4;5.61;5.391
;;19.649;3.7;8.45;24.8;5.6;5.392
;;19.665;3.7;8.4;25.1;5.6;5.394
;;19.68;3.7;8.36;25.5;5.59;5.397
;;19.696;3.7;8.32;25.8;5.59;5.398
;;19.708;3.7;8.28;26.1;5.58;5.4
;;19.717;3.8;8.24;26.4;5.57;5.401
;;19.722;3.8;8.21;26.7;5.57;5.401
;;19.723;3.9;8.18;26.9;5.57;5.401
