degree_celsius,humidity,ph,latitude,longitude,date et heure
27.5625,340,5.6055,45.19137573,5.75408983,27/6/2021 19:19:3
27.5625,340,5.6226,45.19137573,5.75408983,27/6/2021 19:19:4
27.6250,339,5.6055,45.19137573,5.75408983,27/6/2021 19:19:6
27.5625,337,5.5884,45.19137573,5.75408983,27/6/2021 19:19:7
27.6250,336,5.5713,45.19137573,5.75408983,27/6/2021 19:19:8
27.5625,339,5.5884,45.19137573,5.75408983,27/6/2021 19:19:9
27.5625,339,5.5884,45.19137573,5.75408983,27/6/2021 19:19:11
27.5625,341,5.6055,45.19137573,5.75408983,27/6/2021 19:19:13
27.5625,341,5.6083,45.19137573,5.75408983,27/6/2021 19:19:14
27.5625,340,5.5998,45.19137573,5.75408983,27/6/2021 19:19:16
27.5625,340,5.6055,45.19137573,5.75408983,27/6/2021 19:19:17
27.5625,339,5.6026,45.19137573,5.75408983,27/6/2021 19:19:19
27.5625,340,5.6055,45.19137573,5.75408983,27/6/2021 19:19:20
27.5625,339,5.5912,45.19137573,5.75408983,27/6/2021 19:19:22
27.5625,340,5.6026,45.19137573,5.75408983,27/6/2021 19:19:23
27.5625,339,5.6055,45.19137573,5.75408983,27/6/2021 19:19:25
27.6250,337,5.5884,45.19137573,5.75408983,27/6/2021 19:19:26
27.5625,339,5.5912,45.19137573,5.75408983,27/6/2021 19:19:28
27.5625,337,5.5713,45.19137573,5.75408983,27/6/2021 19:19:29
27.5625,340,5.5998,45.19137573,5.75408983,27/6/2021 19:19:30
27.5625,339,5.5998,45.19137573,5.75408983,27/6/2021 19:19:32
27.5625,340,5.6055,45.19137573,5.75408983,27/6/2021 19:19:34
27.5625,341,5.6026,45.19137573,5.75408983,27/6/2021 19:19:35
27.5625,339,5.5998,45.19137573,5.75408983,27/6/2021 19:19:37
27.5625,340,5.6055,45.19137573,5.75408983,27/6/2021 19:19:38
27.5625,339,5.6055,45.19137573,5.75408983,27/6/2021 19:19:40
27.5625,340,5.6055,45.19137573,5.75408983,27/6/2021 19:19:41
27.5625,339,5.5884,45.19137573,5.75408983,27/6/2021 19:19:43
27.5625,339,5.5969,45.19137573,5.75408983,27/6/2021 19:19:45
27.5625,337,5.5713,45.19137573,5.75408983,27/6/2021 19:19:46
27.5625,340,5.6055,45.19137573,5.75408983,27/6/2021 19:19:47
27.5625,339,5.5969,45.19137573,5.75408983,27/6/2021 19:19:49
27.5625,340,5.6055,45.19137573,5.75408983,27/6/2021 19:19:50
27.5625,339,5.6055,45.19137573,5.75408983,27/6/2021 19:19:52
27.5000,340,5.5969,45.19137573,5.75408983,27/6/2021 19:19:53
27.5625,339,5.5998,45.19137573,5.75408983,27/6/2021 19:19:55
27.5625,340,5.6055,45.19137573,5.75408983,27/6/2021 19:19:56
27.5000,340,5.6026,45.19137573,5.75408983,27/6/2021 19:19:58
27.5625,340,5.6055,45.19137573,5.75408983,27/6/2021 19:19:59
27.5625,339,5.5998,45.19137573,5.75408983,27/6/2021 19:20:1
27.5000,340,5.6055,45.19137573,5.75408983,27/6/2021 19:20:2
27.5000,339,5.5884,45.19137573,5.75408983,27/6/2021 19:20:4
27.5625,340,5.5912,45.19137573,5.75408983,27/6/2021 19:20:5
27.5625,338,5.5884,45.19137573,5.75408983,27/6/2021 19:20:7
27.5000,340,5.5884,45.19137573,5.75408983,27/6/2021 19:20:8
27.5000,338,5.5884,45.19137573,5.75408983,27/6/2021 19:20:10
27.5000,340,5.5998,45.19137573,5.75408983,27/6/2021 19:20:11
27.5000,339,5.5884,45.19137573,5.75408983,27/6/2021 19:20:13
